radial,energy
0.181,0.00669
0.532,0.12004
0.865,0.62542
1.18,2.0861
1.48,5.5475
1.76,12.735
2.02,26.185
2.27,49.24
2.51,85.867
2.73,140.31
2.94,216.6
3.14,318.15
3.33,447.33
3.51,605.33
3.68,792.18
3.83,1006.9
3.98,1270.6
4.13,1588.6
4.26,1934.4
4.39,2302.8
4.51,2687.6
4.62,3082.4
4.73,3480.3
4.83,3873
4.92,4250.2
5.01,4656.7
5.1,5108.5
5.18,5562
5.25,6006
5.33,6432
5.39,6835
5.46,7211.2
5.52,7556.6
5.58,7901.5
5.63,8254
5.68,8585.8
5.73,8887.3
5.77,9140.4
5.82,9307.7
5.86,9318.9
5.9,9067.6
5.93,8508.2
5.97,7568.4
6,6622.7
6.03,5733.6
6.06,4930.3
6.09,4209.4
6.11,3566.5
6.14,2997.3
6.16,2496.9
6.18,2060.4
6.2,1682.6
6.22,1357.9
6.24,1081.3
6.26,848.09
6.27,653.69
6.29,493.69
6.3,363.85
6.32,260.2
6.33,179.08
6.34,117.13
6.35,71.338
6.37,39.001
6.38,17.739
6.39,5.468
6.4,0.38068
